SID,corr,p
sid541,0.516926876226352,1.17618436010256E-12
sid1048,0.516064682874665,1.08772090330005E-10
sid628,0.515926113716644,1.93522413355579E-11
sid1406,0.515520378522688,2.22239361557957E-12
sid1698,0.509270917609205,4.53828451761342E-13
sid1292,0.504094137987376,1.25324152122014E-11
sid1450,0.499434356831747,5.32532975229535E-13
sid1415,0.49591842174984,1.68056374020304E-12
sid1079,0.49328630573236,4.16696658537051E-13
sid1050,0.4901352322566,1.15541429041195E-08
sid525,0.489117235905906,9.99030854537519E-10
sid92,0.488383119962067,0.002164014765087
sid657,0.488252978540098,2.02423467579743E-10
sid1577,0.487493366196272,1.89696723727892E-10
sid516,0.487197292560836,1.16803160264195E-12
sid39,0.485752561893313,4.78376496357952E-12
sid881,0.478509356216366,9.13766249012599E-11
sid1772,0.47580857862571,8.78758936874166E-08
sid316,0.472753820418953,2.68204368305045E-11
sid513,0.471317265587174,4.74122447000989E-09
sid1499,0.469498777657149,5.67290568930896E-12
sid1185,0.468873873217014,4.17402643025796E-12
sid684,0.468197850063291,3.09695929472943E-12
sid122,0.46773309513267,7.4445181180983E-10
sid1674,0.463544205547316,6.70908071486141E-10
sid1063,0.462897732509216,6.19286672512562E-08
sid868,0.459369270731013,5.43377483683494E-12
sid942,0.455507699377125,5.98974986174562E-09
sid138,0.454565224354521,2.50856383086126E-09
sid100,0.454183331835905,0.000635265549447
sid449,0.451467082804581,7.2461893718672E-10
sid148,0.450594728629737,1.02358710905932E-08
sid533,0.44429157381966,2.01966817932299E-09
sid577,0.442904192777025,4.58528533625721E-11
sid994,0.435783647447998,5.07469067006055E-10
sid1792,0.433869472597378,0.000112537972352
sid21,0.431774771084012,6.83061294845845E-10
sid1602,0.426736297104521,1.70390492477238E-09
sid1409,0.423015811438473,1.50984414655782E-08
sid1142,0.422793065684673,1.10877571198165E-09
sid1796,0.422095233767071,2.4046104913336E-09
sid911,0.42206132856549,3.78792956203809E-07
sid615,0.419138161212279,6.29502636694558E-08
sid1031,0.417377380270584,9.51749451964109E-07
sid214,0.415943747195462,2.05666508244277E-08
sid228,0.414481153640059,1.79791099945965E-07
sid731,0.412492323539143,2.2777842370567E-08
sid850,0.412299409453515,3.40003720934198E-08
sid264,0.410301670534433,5.26541250444038E-07
sid5,0.409489415079979,3.90936133484028E-08
sid460,0.409190498365409,1.65699912525225E-07
sid459,0.408980317042762,9.54463994821034E-08
sid1865,0.40741204272537,3.19583422905386E-08
sid1378,0.406219437544868,4.98144634817383E-10
sid1614,0.40596848722696,8.57346294728318E-07
sid686,0.403360567356362,1.12149618881124E-06
sid848,0.401381467777166,2.14473472064812E-08
sid87,0.400716002281501,6.71614567130603E-08
sid872,0.398972610450566,1.07126431712561E-09
sid1528,0.398909948518964,5.4437578989988E-08
sid1677,0.396574332104474,5.12158794361474E-06
sid584,0.395179528256282,7.95911825688468E-07
sid436,0.394949100486182,1.52386291310266E-07
sid385,0.394080533203577,1.02386114211495E-06
sid1323,0.391585887603795,1.26989968387948E-08
