SID,corr,p
sid187,0.024355582061162145,0.7979024120688625
sid189,0.32167571276176915,2.8707548518695046e-06
sid190,0.01560842748690288,0.8547691470729241
sid192,0.7018730799909422,2.980317703051855e-30
sid193,0.09455461270768707,0.23580438333895315
sid195,-0.01490581226601376,0.8548977858620315
sid196,0.5169973726889147,6.30250989214111e-15
sid197,0.19776535609100615,0.026435173250669103
sid198,0.3424157784060329,4.864433369740263e-06
sid199,0.40614970301580683,1.1215093621348708e-06
sid201,,
sid203,-0.1612200219312543,0.021896273689820608
sid204,0.13902059114321755,0.11328171146573024
sid205,0.2259457513539747,0.00592798164476893
sid207,-0.1208139871692405,0.13949651024312218
sid208,0.10976508229968776,0.11103158211275387
sid209,0.22697524323809945,0.0062235398125612944
sid210,0.0955021649675785,0.21268486792150468
sid212,0.31872604711873687,2.032943174603799e-05
sid214,0.19215499148005916,0.012584466251771701
sid215,-0.0018774814492594706,0.9793264178575718
sid216,0.03406091145607412,0.6993332046217327
sid225,0.09467130909802733,0.2802434850763587
sid227,0.35973652215933644,5.716887515511725e-06
sid228,0.1465489338415832,0.07652434913473549
sid232,0.09176132798193322,0.2561367903200837
sid234,-0.2222933785137317,0.012358007240824477
sid236,-0.04328626668683148,0.5879794021417657
sid237,0.20547654601195625,0.004672131384765612
sid238,0.06556326307455669,0.4222582998761558
sid239,0.04374407040666438,0.551125995602795
sid240,-0.030193062740910114,0.7046824197490089
sid241,0.7165693288002063,2.509917497894986e-35
sid242,,
sid245,0.012339308736845385,0.8853661625773395
sid250,0.12266301848480088,0.0884002494241984
sid251,0.25479771934336726,0.001982587293617449
sid252,0.0763954974918535,0.31779366313225865
sid253,0.8724622052655178,4.6077689251579815e-50
sid254,0.053737669132262265,0.4825592963562859
sid258,-0.08757086612631579,0.4742967820288948
sid260,0.04354567466221794,0.5728597927167747
sid261,0.6691056189979419,4.0255594966269294e-22
sid262,-0.08553472995210562,0.28995534924741784
sid263,0.08177379317088222,0.32648036353998466
sid264,0.5661760205835286,3.7670602393571304e-13
sid265,-0.06373169221527354,0.4034536351118313
sid266,,
sid267,0.022280680072452746,0.7852676483726393
sid268,-0.09101749393823856,0.23230963695122528
sid269,-0.0818111485733105,0.28887357907220695
sid271,0.8085679530159124,3.172418127056899e-38
sid272,0.0671187840602397,0.4160421043520256
sid273,0.03447967823283419,0.7555201197232186
sid274,-0.032394982849680655,0.6382617647186255
sid278,-0.05437075282770971,0.4852622227827297
sid280,0.37888962837413726,4.0146543983614845e-08
sid282,-0.3324040449064634,3.446904262074622e-05
sid283,-0.04753714231004704,0.5480374588896759
sid285,0.0577327966495347,0.490349163996326
sid286,0.20588902672154638,0.005296986571070948
sid287,0.06438123429301508,0.397296886813294
sid288,,
sid289,0.2926279951785612,0.0006011347597429419
sid290,-0.04068834322645576,0.6105957240139579
sid292,0.60616302118704,2.435527435673402e-10
sid293,0.04123774921785238,0.5804484496784635
sid294,0.05423069368634308,0.48113666599141314
sid295,0.3531801366846725,4.3189906993772624e-06
sid297,0.05747636379150171,0.4746009179811481
sid298,-0.022270059811644864,0.7784867934494746
sid299,-0.014352314713352939,0.8839043528936801
sid300,,
sid301,0.3345398148001316,1.06993858530617e-06
sid302,-0.07586729604882478,0.32545570092456133
sid303,-0.07190793317971113,0.3254666752813278
sid304,-0.0648650078586124,0.39929177784721537
sid305,0.0870722996505664,0.21903446398531526
sid306,0.008915208797123955,0.9140673727240118
sid307,-0.03936926169514124,0.6515299856231977
sid308,0.3641984229998657,2.74564139845562e-06
sid314,,
sid315,0.019610468480275225,0.8008035799009443
sid316,0.4053807268067552,1.9859650694652678e-08
sid317,-0.00945946517946345,0.9082259687372798
sid318,-0.12256035874787972,0.10513003379224736
sid320,0.44193342040362776,2.7071572692057623e-10
sid322,0.2591682014701144,0.0014147614976800058
sid323,-0.09603938315429282,0.17943260349282936
sid325,0.08203116490282542,0.313431217061635
sid326,-0.04578414594719248,0.5462533856664675
sid327,-0.10627299048689481,0.14882583218879708
sid328,0.14564868789935795,0.05307279683989819
sid329,0.59715573359601,3.184274056705008e-17
sid331,0.13288021289544497,0.11889909911664674
sid332,-0.34274529951239124,4.756831364178801e-06
sid334,-0.0408373565532734,0.596981507299432
sid335,0.17111064747232888,0.03824642106707586
sid336,0.3277042651383419,8.487431462732054e-06
sid337,0.12922466395905569,0.1492626054312496
sid338,-0.11065662309903333,0.12955879886425972
sid339,0.014280031482748047,0.8591097776834757
sid340,-0.028471710005920272,0.7303315910612513
sid341,0.11733322424418043,0.09799309424214026
sid342,0.0629424413580069,0.3832705171829931
sid344,-0.1571741397488825,0.03409266858585867
sid345,-0.29273602977354146,1.6203495238333273e-05
sid347,-0.26765953475717674,0.00023951539178792972
sid348,-0.004134547239305436,0.9542545570133605
sid350,0.45812771213476433,1.461125814298766e-11
sid351,0.041125959192372503,0.5524507382684005
sid352,-0.11554361536800907,0.1804040182882218
sid353,0.0893716639338992,0.20820957688819097
sid355,0.10696135845319561,0.19723501235108185
sid357,0.0355413824318228,0.7241994078485767
sid358,0.18490343582644742,0.02650914329531188
sid359,0.045694832281063344,0.5528700925401853
sid360,0.09357900310189311,0.24992050491108767
sid362,-0.03436347467486421,0.65071556715334
sid363,0.18573503991273088,0.017259489709844884
sid364,-0.013096027850320732,0.8595668961407398
sid366,-0.09362487084893172,0.4441633308742652
sid367,-0.1883462674556002,0.024787630475965026
sid369,0.48977577577432746,5.09920678109987e-09
sid373,0.8353514377642731,2.951895693427477e-45
sid374,-0.09783520389500681,0.18764277576618232
sid375,0.3936476968121323,9.47340014804708e-05
sid376,-0.1420045994456798,0.07145519765329311
sid377,-0.2861145693185,0.00020402863325602353
sid378,0.04014907324558678,0.6031839213165661
sid379,0.22754152866407595,0.003103545003469915
sid383,0.2595528683544289,0.00020608904466467892
sid384,-0.012519705085391748,0.8708948413588974
sid385,0.3933581482191849,1.0758079973860863e-06
sid386,-0.0549048863388885,0.504565780885208
sid387,0.0055472428283928924,0.9439724314890113
sid388,0.15265446043282105,0.08664338253110788
sid391,0.15962429793175653,0.04583312574535817
sid392,-0.042551420224851526,0.5919911143548539
sid393,-0.1532791544059715,0.04934839265169133
sid394,0.10528337178466918,0.15721557395940214
sid396,0.7792818424377776,4.94842177054174e-41
sid398,0.2559660996471026,0.0024437715407275196
sid400,-0.025635890246344877,0.7476181648172187
sid402,0.45699456297328633,6.053845772012156e-10
sid403,0.4899905235143394,1.2897054032508774e-10
sid404,0.2672851221304428,0.0005622978156595387
sid406,-0.15797522291351643,0.05433030141679308
sid409,-0.07415980712821707,0.37535094308755557
sid412,-0.04723794210699602,0.5646370736400341
sid413,-0.15566562179727822,0.060627654081194256
sid415,0.03342091967074234,0.6767696592215648
sid416,0.7266457792827413,4.696910643218227e-27
sid420,0.28712085270057514,0.00019330017012703278
sid421,-0.0309462416918069,0.6995025912987456
sid422,-0.11751678074616621,0.13040906349942408
sid423,-0.014782488449887443,0.8623762522807803
sid424,0.456075716201749,3.0152928192698245e-06
sid425,0.11054765905931925,0.20351737468251005
sid427,0.14259430666971162,0.10026003528357683
sid428,0.10615007155991445,0.21028400275030917
sid429,0.1452174812637216,0.07048535666872453
sid430,-0.006896551724137931,0.9341568378406355
sid431,0.09690051151659998,0.23342988276806148
sid432,-0.17366765522891617,0.04477197505566678
sid433,0.02851429640696403,0.7264279430909277
sid434,,
sid435,0.3039917550081112,0.001456218099348079
sid436,-0.06116953218437474,0.435099739584908
sid438,0.05940393673081046,0.5122270242400808
sid439,-0.05230957195503858,0.5139192140299798
sid440,0.3003448071472288,0.00019796549055023583
sid443,0.48870917405111636,4.4776774798418825e-10
sid444,0.16255386802994054,0.0419448305735529
sid445,-0.018689986282578876,0.8470400979908443
sid446,-0.06482243869155442,0.42599046491235903
sid447,-0.31308521542825374,6.71576540174152e-06
sid449,0.8144606400667126,2.498032013073631e-41
sid450,0.44494785973824846,3.2401725063639196e-08
sid451,0.1536229635985582,0.0967370279918151
sid453,0.20222653351338504,0.012181338988175836
sid455,-0.13490984547212265,0.08695944605030474
sid458,-0.0245648981754285,0.7693045981826611
sid459,0.5076972416425218,9.86527534708159e-12
sid460,0.6722866211386727,2.469356261567893e-21
