,index,Average Potential Outcome,rho1,rho2
54,"Y((1, 0))",0.6628125000000016,0.1,0.8
55,"Y((1, 0))",0.6493750000000021,0.1,0.8
56,"Y((1, 0))",0.6868750000000026,0.1,0.8
57,"Y((1, 0))",0.6109375000000017,0.1,0.8
58,"Y((1, 0))",0.7025000000000026,0.1,0.8
59,"Y((1, 0))",0.6187500000000009,0.1,0.8
60,"Y((2, 0))",0.644062500000002,0.1,0.8
61,"Y((2, 0))",0.4753124999999998,0.1,0.8
62,"Y((2, 0))",0.6609375000000026,0.1,0.8
63,"Y((2, 0))",0.6593750000000023,0.1,0.8
64,"Y((2, 0))",0.6184375000000009,0.1,0.8
65,"Y((2, 0))",0.5353124999999993,0.1,0.8
66,"Y((3, 0))",0.7765625000000032,0.1,0.8
67,"Y((3, 0))",0.778125000000004,0.1,0.8
68,"Y((3, 0))",0.739687500000002,0.1,0.8
69,"Y((3, 0))",0.7687500000000038,0.1,0.8
70,"Y((3, 0))",0.7981250000000029,0.1,0.8
71,"Y((3, 0))",0.7431250000000029,0.1,0.8
72,"Y((0, 0))",0.7337500000000026,0.1,0.9
73,"Y((0, 0))",0.6575000000000025,0.1,0.9
74,"Y((0, 0))",0.590937500000001,0.1,0.9
75,"Y((0, 0))",0.5353125000000011,0.1,0.9
76,"Y((0, 0))",0.679062500000003,0.1,0.9
77,"Y((0, 0))",0.7440625000000052,0.1,0.9
78,"Y((1, 0))",0.6384375000000013,0.1,0.9
79,"Y((1, 0))",0.6293750000000026,0.1,0.9
80,"Y((1, 0))",0.7015625000000021,0.1,0.9
81,"Y((1, 0))",0.6556250000000029,0.1,0.9
82,"Y((1, 0))",0.6618750000000015,0.1,0.9
83,"Y((1, 0))",0.612500000000001,0.1,0.9
84,"Y((2, 0))",0.6696875000000022,0.1,0.9
85,"Y((2, 0))",0.746562500000005,0.1,0.9
86,"Y((2, 0))",0.641562500000002,0.1,0.9
87,"Y((2, 0))",0.662500000000002,0.1,0.9
88,"Y((2, 0))",0.6740625000000026,0.1,0.9
89,"Y((2, 0))",0.7621875000000036,0.1,0.9
90,"Y((3, 0))",0.806562500000004,0.1,0.9
91,"Y((3, 0))",0.7468750000000023,0.1,0.9
92,"Y((3, 0))",0.7440625000000022,0.1,0.9
93,"Y((3, 0))",0.7328125000000024,0.1,0.9
94,"Y((3, 0))",0.8862500000000019,0.1,0.9
95,"Y((3, 0))",0.7078125000000027,0.1,0.9
96,"Y((0, 0))",0.6118750000000033,0.2,0.6
97,"Y((0, 0))",0.7187500000000029,0.2,0.6
98,"Y((0, 0))",0.464375,0.2,0.6
99,"Y((0, 0))",0.6746875000000038,0.2,0.6
100,"Y((0, 0))",0.5359375000000003,0.2,0.6
101,"Y((0, 0))",0.6178125000000004,0.2,0.6
102,"Y((1, 0))",0.6340625000000033,0.2,0.6
103,"Y((1, 0))",0.682187500000002,0.2,0.6
104,"Y((1, 0))",0.7278125000000009,0.2,0.6
105,"Y((1, 0))",0.6559375000000027,0.2,0.6
106,"Y((1, 0))",0.7596875000000042,0.2,0.6
107,"Y((1, 0))",0.6340625000000014,0.2,0.6
108,"Y((2, 0))",0.750000000000002,0.2,0.6
109,"Y((2, 0))",0.52875,0.2,0.6
110,"Y((2, 0))",0.6993750000000044,0.2,0.6
111,"Y((2, 0))",0.8662500000000029,0.2,0.6
112,"Y((2, 0))",0.5068750000000001,0.2,0.6
113,"Y((2, 0))",0.6353125000000042,0.2,0.6
114,"Y((3, 0))",0.7237500000000031,0.2,0.6
115,"Y((3, 0))",0.708750000000003,0.2,0.6
116,"Y((3, 0))",0.7303125000000029,0.2,0.6
117,"Y((3, 0))",0.7253125000000032,0.2,0.6
118,"Y((3, 0))",0.7434375000000019,0.2,0.6
119,"Y((3, 0))",0.7025000000000031,0.2,0.6
120,"Y((0, 0))",0.654062500000003,0.2,0.7
121,"Y((0, 0))",0.6556250000000025,0.2,0.7
122,"Y((0, 0))",0.5387500000000007,0.2,0.7
123,"Y((0, 0))",0.6312500000000016,0.2,0.7
124,"Y((0, 0))",0.6193750000000017,0.2,0.7
125,"Y((0, 0))",0.5334375000000011,0.2,0.7
126,"Y((1, 0))",0.7218750000000053,0.2,0.7
127,"Y((1, 0))",0.6875000000000038,0.2,0.7
128,"Y((1, 0))",0.6296875000000005,0.2,0.7
129,"Y((1, 0))",0.6868750000000016,0.2,0.7
130,"Y((1, 0))",0.7715625000000037,0.2,0.7
131,"Y((1, 0))",0.5984375000000016,0.2,0.7
132,"Y((2, 0))",0.6434375000000018,0.2,0.7
133,"Y((2, 0))",0.8425000000000027,0.2,0.7
134,"Y((2, 0))",0.7515625000000045,0.2,0.7
135,"Y((2, 0))",0.7378125000000031,0.2,0.7
136,"Y((2, 0))",0.7809375000000045,0.2,0.7
137,"Y((2, 0))",0.6615625000000033,0.2,0.7
138,"Y((3, 0))",0.7884375000000029,0.2,0.7
139,"Y((3, 0))",0.7346875000000034,0.2,0.7
140,"Y((3, 0))",0.7059375000000037,0.2,0.7
141,"Y((3, 0))",0.6790625000000013,0.2,0.7
142,"Y((3, 0))",0.8265625000000023,0.2,0.7
143,"Y((3, 0))",0.720000000000003,0.2,0.7
144,"Y((0, 0))",0.599062500000001,0.2,0.8
145,"Y((0, 0))",0.6109375000000002,0.2,0.8
146,"Y((0, 0))",0.5684375000000019,0.2,0.8
147,"Y((0, 0))",0.6268750000000017,0.2,0.8
148,"Y((0, 0))",0.644375,0.2,0.8
149,"Y((0, 0))",0.6043750000000023,0.2,0.8
150,"Y((1, 0))",0.7218750000000027,0.2,0.8
151,"Y((1, 0))",0.6896875000000026,0.2,0.8
152,"Y((1, 0))",0.7012500000000046,0.2,0.8
153,"Y((1, 0))",0.7784375000000033,0.2,0.8
154,"Y((1, 0))",0.5984375000000007,0.2,0.8
155,"Y((1, 0))",0.7778125000000051,0.2,0.8
156,"Y((2, 0))",0.5628125000000002,0.2,0.8
157,"Y((2, 0))",0.4678124999999998,0.2,0.8
158,"Y((2, 0))",0.722500000000005,0.2,0.8
159,"Y((2, 0))",0.543750000000001,0.2,0.8
160,"Y((2, 0))",0.5643750000000008,0.2,0.8
161,"Y((2, 0))",0.7043750000000052,0.2,0.8
162,"Y((3, 0))",0.7487500000000025,0.2,0.8
163,"Y((3, 0))",0.6921875000000033,0.2,0.8
164,"Y((3, 0))",0.7921875000000036,0.2,0.8
165,"Y((3, 0))",0.815312500000003,0.2,0.8
166,"Y((3, 0))",0.7509375000000034,0.2,0.8
167,"Y((3, 0))",0.7478125000000031,0.2,0.8
168,"Y((0, 0))",0.6328125000000009,0.2,0.9
169,"Y((0, 0))",0.7418750000000055,0.2,0.9
170,"Y((0, 0))",0.5228124999999999,0.2,0.9
171,"Y((0, 0))",0.5793750000000017,0.2,0.9
172,"Y((0, 0))",0.5393750000000004,0.2,0.9
173,"Y((0, 0))",0.6618750000000024,0.2,0.9
174,"Y((1, 0))",0.662500000000003,0.2,0.9
175,"Y((1, 0))",0.6837500000000052,0.2,0.9
176,"Y((1, 0))",0.7212500000000033,0.2,0.9
177,"Y((1, 0))",0.7321875000000032,0.2,0.9
178,"Y((1, 0))",0.6659375000000033,0.2,0.9
179,"Y((1, 0))",0.6903125000000034,0.2,0.9
180,"Y((2, 0))",0.697500000000002,0.2,0.9
181,"Y((2, 0))",0.611875000000002,0.2,0.9
182,"Y((2, 0))",0.6940625000000022,0.2,0.9
183,"Y((2, 0))",0.6012500000000005,0.2,0.9
184,"Y((2, 0))",0.6575000000000023,0.2,0.9
185,"Y((2, 0))",0.7143750000000033,0.2,0.9
186,"Y((3, 0))",0.8071875000000028,0.2,0.9
187,"Y((3, 0))",0.7278125000000034,0.2,0.9
188,"Y((3, 0))",0.7671875000000025,0.2,0.9
189,"Y((3, 0))",0.7196875000000029,0.2,0.9
190,"Y((3, 0))",0.6884375000000029,0.2,0.9
191,"Y((3, 0))",0.8343750000000041,0.2,0.9
192,"Y((0, 0))",0.5893750000000021,0.30000000000000004,0.6
193,"Y((0, 0))",0.643437500000001,0.30000000000000004,0.6
194,"Y((0, 0))",0.6018750000000016,0.30000000000000004,0.6
195,"Y((0, 0))",0.7112500000000046,0.30000000000000004,0.6
196,"Y((0, 0))",0.5721875000000018,0.30000000000000004,0.6
197,"Y((0, 0))",0.525625,0.30000000000000004,0.6
198,"Y((1, 0))",0.7843750000000062,0.30000000000000004,0.6
199,"Y((1, 0))",0.6596875000000004,0.30000000000000004,0.6
200,"Y((1, 0))",0.7768750000000038,0.30000000000000004,0.6
201,"Y((1, 0))",0.886250000000002,0.30000000000000004,0.6
202,"Y((1, 0))",0.6721875000000005,0.30000000000000004,0.6
203,"Y((1, 0))",0.6375000000000005,0.30000000000000004,0.6
204,"Y((2, 0))",0.5312499999999998,0.30000000000000004,0.6
205,"Y((2, 0))",0.8665625000000026,0.30000000000000004,0.6
206,"Y((2, 0))",0.5343750000000012,0.30000000000000004,0.6
207,"Y((2, 0))",0.7034375000000044,0.30000000000000004,0.6
208,"Y((2, 0))",0.7103125000000037,0.30000000000000004,0.6
209,"Y((2, 0))",0.705312500000005,0.30000000000000004,0.6
210,"Y((3, 0))",0.7034375000000034,0.30000000000000004,0.6
211,"Y((3, 0))",0.7146875000000039,0.30000000000000004,0.6
212,"Y((3, 0))",0.7325000000000026,0.30000000000000004,0.6
213,"Y((3, 0))",0.7093750000000031,0.30000000000000004,0.6
214,"Y((3, 0))",0.722500000000003,0.30000000000000004,0.6
215,"Y((3, 0))",0.7250000000000036,0.30000000000000004,0.6
216,"Y((0, 0))",0.6562500000000032,0.30000000000000004,0.7
217,"Y((0, 0))",0.6146875000000006,0.30000000000000004,0.7
218,"Y((0, 0))",0.6203125000000023,0.30000000000000004,0.7
219,"Y((0, 0))",0.6659375000000017,0.30000000000000004,0.7
220,"Y((0, 0))",0.5471875000000008,0.30000000000000004,0.7
221,"Y((0, 0))",0.6209375000000021,0.30000000000000004,0.7
222,"Y((1, 0))",0.7065625000000064,0.30000000000000004,0.7
223,"Y((1, 0))",0.6162500000000014,0.30000000000000004,0.7
224,"Y((1, 0))",0.7528125000000018,0.30000000000000004,0.7
225,"Y((1, 0))",0.6481250000000024,0.30000000000000004,0.7
226,"Y((1, 0))",0.7493750000000046,0.30000000000000004,0.7
227,"Y((1, 0))",0.7475000000000052,0.30000000000000004,0.7
228,"Y((2, 0))",0.6634375000000026,0.30000000000000004,0.7
229,"Y((2, 0))",0.717812500000004,0.30000000000000004,0.7
230,"Y((2, 0))",0.7875000000000042,0.30000000000000004,0.7
231,"Y((2, 0))",0.5803125000000005,0.30000000000000004,0.7
232,"Y((2, 0))",0.7212500000000048,0.30000000000000004,0.7
233,"Y((2, 0))",0.8578125000000034,0.30000000000000004,0.7
234,"Y((3, 0))",0.740625000000004,0.30000000000000004,0.7
235,"Y((3, 0))",0.7428125000000045,0.30000000000000004,0.7
236,"Y((3, 0))",0.7296875000000036,0.30000000000000004,0.7
237,"Y((3, 0))",0.7103125000000047,0.30000000000000004,0.7
238,"Y((3, 0))",0.7078125000000027,0.30000000000000004,0.7
239,"Y((3, 0))",0.7178125000000024,0.30000000000000004,0.7
240,"Y((0, 0))",0.6490625000000009,0.30000000000000004,0.8
241,"Y((0, 0))",0.6053125000000008,0.30000000000000004,0.8
242,"Y((0, 0))",0.606250000000002,0.30000000000000004,0.8
243,"Y((0, 0))",0.6737500000000016,0.30000000000000004,0.8
244,"Y((0, 0))",0.5881250000000009,0.30000000000000004,0.8
245,"Y((0, 0))",0.6731250000000032,0.30000000000000004,0.8
246,"Y((1, 0))",0.8446875000000016,0.30000000000000004,0.8
247,"Y((1, 0))",0.7321875000000012,0.30000000000000004,0.8
248,"Y((1, 0))",0.6156250000000025,0.30000000000000004,0.8
249,"Y((1, 0))",0.8825000000000021,0.30000000000000004,0.8
250,"Y((1, 0))",0.6512499999999997,0.30000000000000004,0.8
251,"Y((1, 0))",0.6787500000000015,0.30000000000000004,0.8
252,"Y((2, 0))",0.6903125000000037,0.30000000000000004,0.8
253,"Y((2, 0))",0.5262499999999998,0.30000000000000004,0.8
254,"Y((2, 0))",0.5587500000000013,0.30000000000000004,0.8
255,"Y((2, 0))",0.6075000000000024,0.30000000000000004,0.8
256,"Y((2, 0))",0.6093750000000016,0.30000000000000004,0.8
257,"Y((2, 0))",0.5800000000000016,0.30000000000000004,0.8
258,"Y((3, 0))",0.8040625000000038,0.30000000000000004,0.8
259,"Y((3, 0))",0.6840625000000027,0.30000000000000004,0.8
260,"Y((3, 0))",0.7931250000000045,0.30000000000000004,0.8
261,"Y((3, 0))",0.8109375000000043,0.30000000000000004,0.8
262,"Y((3, 0))",0.7359375000000024,0.30000000000000004,0.8
263,"Y((3, 0))",0.7359375000000036,0.30000000000000004,0.8
264,"Y((0, 0))",0.6450000000000016,0.30000000000000004,0.9
265,"Y((0, 0))",0.5515625000000024,0.30000000000000004,0.9
266,"Y((0, 0))",0.6718750000000029,0.30000000000000004,0.9
267,"Y((0, 0))",0.6862500000000036,0.30000000000000004,0.9
268,"Y((0, 0))",0.5918750000000018,0.30000000000000004,0.9
269,"Y((0, 0))",0.6437500000000018,0.30000000000000004,0.9
270,"Y((1, 0))",0.8821875000000006,0.30000000000000004,0.9
271,"Y((1, 0))",0.7140625000000055,0.30000000000000004,0.9
272,"Y((1, 0))",0.6371875000000033,0.30000000000000004,0.9
273,"Y((1, 0))",0.7000000000000025,0.30000000000000004,0.9
274,"Y((1, 0))",0.7528125000000052,0.30000000000000004,0.9
275,"Y((1, 0))",0.722187500000003,0.30000000000000004,0.9
276,"Y((2, 0))",0.6768750000000014,0.30000000000000004,0.9
277,"Y((2, 0))",0.5671874999999997,0.30000000000000004,0.9
278,"Y((2, 0))",0.7903125000000031,0.30000000000000004,0.9
279,"Y((2, 0))",0.725937500000004,0.30000000000000004,0.9
280,"Y((2, 0))",0.6518750000000012,0.30000000000000004,0.9
281,"Y((2, 0))",0.6465625000000019,0.30000000000000004,0.9
282,"Y((3, 0))",0.7318750000000028,0.30000000000000004,0.9
283,"Y((3, 0))",0.7940625000000049,0.30000000000000004,0.9
284,"Y((3, 0))",0.7837500000000029,0.30000000000000004,0.9
285,"Y((3, 0))",0.6906250000000033,0.30000000000000004,0.9
286,"Y((3, 0))",0.8496875000000024,0.30000000000000004,0.9
287,"Y((3, 0))",0.747500000000003,0.30000000000000004,0.9
288,"Y((0, 0))",0.5978125000000021,0.4,0.6
289,"Y((0, 0))",0.6737500000000015,0.4,0.6
290,"Y((0, 0))",0.5628125000000015,0.4,0.6
291,"Y((0, 0))",0.6059375000000016,0.4,0.6
292,"Y((0, 0))",0.6265625000000017,0.4,0.6
293,"Y((0, 0))",0.5968750000000012,0.4,0.6
294,"Y((1, 0))",0.7990625000000076,0.4,0.6
295,"Y((1, 0))",0.9540624999999998,0.4,0.6
296,"Y((1, 0))",0.9237500000000001,0.4,0.6
297,"Y((1, 0))",0.8350000000000041,0.4,0.6
298,"Y((1, 0))",1.0,0.4,0.6
299,"Y((1, 0))",0.816250000000006,0.4,0.6
300,"Y((2, 0))",0.5359375,0.4,0.6
301,"Y((2, 0))",0.860000000000003,0.4,0.6
302,"Y((2, 0))",0.5359375000000011,0.4,0.6
303,"Y((2, 0))",0.8159375000000042,0.4,0.6
304,"Y((2, 0))",0.7350000000000056,0.4,0.6
305,"Y((2, 0))",0.4759375,0.4,0.6
306,"Y((3, 0))",0.7384375000000045,0.4,0.6
307,"Y((3, 0))",0.672187500000002,0.4,0.6
308,"Y((3, 0))",0.737812500000004,0.4,0.6
309,"Y((3, 0))",0.7315625000000029,0.4,0.6
310,"Y((3, 0))",0.7028125000000032,0.4,0.6
311,"Y((3, 0))",0.7143750000000031,0.4,0.6
312,"Y((0, 0))",0.6531250000000021,0.4,0.7
313,"Y((0, 0))",0.621562500000002,0.4,0.7
314,"Y((0, 0))",0.5590625000000002,0.4,0.7
315,"Y((0, 0))",0.6609375000000027,0.4,0.7
316,"Y((0, 0))",0.5637500000000006,0.4,0.7
317,"Y((0, 0))",0.6546875000000028,0.4,0.7
318,"Y((1, 0))",0.8231250000000057,0.4,0.7
319,"Y((1, 0))",0.8443750000000048,0.4,0.7
320,"Y((1, 0))",1.0,0.4,0.7
321,"Y((1, 0))",0.8125000000000066,0.4,0.7
322,"Y((1, 0))",1.0,0.4,0.7
323,"Y((1, 0))",0.8400000000000049,0.4,0.7
324,"Y((2, 0))",0.8006250000000061,0.4,0.7
325,"Y((2, 0))",0.5731250000000008,0.4,0.7
326,"Y((2, 0))",0.7387500000000025,0.4,0.7
327,"Y((2, 0))",0.7387500000000056,0.4,0.7
328,"Y((2, 0))",0.7453125000000042,0.4,0.7
329,"Y((2, 0))",0.716875000000005,0.4,0.7
330,"Y((3, 0))",0.734062500000002,0.4,0.7
331,"Y((3, 0))",0.775625000000004,0.4,0.7
332,"Y((3, 0))",0.7178125000000041,0.4,0.7
333,"Y((3, 0))",0.7971875000000033,0.4,0.7
334,"Y((3, 0))",0.7271875000000041,0.4,0.7
335,"Y((3, 0))",0.6903125000000032,0.4,0.7
336,"Y((0, 0))",0.6118750000000015,0.4,0.8
337,"Y((0, 0))",0.6315624999999995,0.4,0.8
338,"Y((0, 0))",0.6659375000000033,0.4,0.8
339,"Y((0, 0))",0.6337500000000016,0.4,0.8
340,"Y((0, 0))",0.6371875000000015,0.4,0.8
341,"Y((0, 0))",0.6415625000000019,0.4,0.8
342,"Y((1, 0))",0.8150000000000063,0.4,0.8
343,"Y((1, 0))",0.9078125000000012,0.4,0.8
344,"Y((1, 0))",0.8959375000000017,0.4,0.8
345,"Y((1, 0))",0.8140625000000062,0.4,0.8
346,"Y((1, 0))",1.0,0.4,0.8
347,"Y((1, 0))",0.7434375000000075,0.4,0.8
348,"Y((2, 0))",0.6853125000000035,0.4,0.8
349,"Y((2, 0))",0.5421874999999997,0.4,0.8
350,"Y((2, 0))",0.5531249999999995,0.4,0.8
351,"Y((2, 0))",0.6390625000000031,0.4,0.8
352,"Y((2, 0))",0.6556250000000025,0.4,0.8
353,"Y((2, 0))",0.5662500000000008,0.4,0.8
354,"Y((3, 0))",0.7456250000000025,0.4,0.8
355,"Y((3, 0))",0.7084375000000025,0.4,0.8
356,"Y((3, 0))",0.8134375000000038,0.4,0.8
357,"Y((3, 0))",0.7740625000000029,0.4,0.8
358,"Y((3, 0))",0.7487500000000018,0.4,0.8
359,"Y((3, 0))",0.7665625000000029,0.4,0.8
360,"Y((0, 0))",0.5781250000000029,0.4,0.9
361,"Y((0, 0))",0.6240625000000023,0.4,0.9
362,"Y((0, 0))",0.7068750000000016,0.4,0.9
363,"Y((0, 0))",0.6503125000000008,0.4,0.9
364,"Y((0, 0))",0.6162500000000023,0.4,0.9
365,"Y((0, 0))",0.6440625000000023,0.4,0.9
366,"Y((1, 0))",0.7759375000000079,0.4,0.9
367,"Y((1, 0))",0.8896875000000011,0.4,0.9
368,"Y((1, 0))",0.8925000000000007,0.4,0.9
369,"Y((1, 0))",0.8653125000000026,0.4,0.9
370,"Y((1, 0))",0.9659374999999996,0.4,0.9
371,"Y((1, 0))",0.8468750000000036,0.4,0.9
372,"Y((2, 0))",0.652187500000001,0.4,0.9
373,"Y((2, 0))",0.6903125000000035,0.4,0.9
374,"Y((2, 0))",0.6437500000000015,0.4,0.9
375,"Y((2, 0))",0.6503125000000015,0.4,0.9
376,"Y((2, 0))",0.6978125000000033,0.4,0.9
377,"Y((2, 0))",0.6931250000000038,0.4,0.9
378,"Y((3, 0))",0.8203125000000042,0.4,0.9
379,"Y((3, 0))",0.7053125000000025,0.4,0.9
380,"Y((3, 0))",0.7396875000000038,0.4,0.9
381,"Y((3, 0))",0.7378125000000028,0.4,0.9
382,"Y((3, 0))",0.8393750000000016,0.4,0.9
383,"Y((3, 0))",0.7596875000000046,0.4,0.9
