var mean se_mean sd 2.5% 25% 50% 75% 97.5% n_eff Rhat
alpha0[55] -1.36 0.00042 0.00087 -1.36 -1.36 -1.36 -1.36 -1.36 4 1.6
alpha0[56] 1.04 9.3E-05 0.00027 1.04 1.04 1.04 1.04 1.04 9 1.1
alpha0[57] 0.76 5.5E-05 0.0002 0.75 0.76 0.76 0.76 0.76 13 1.02
alpha0[58] 0.12 7.5E-05 0.00022 0.12 0.12 0.12 0.12 0.12 8 1.18
alpha0[59] 1.58 0.00028 0.00047 1.58 1.58 1.58 1.58 1.58 3 2.62
alpha0[60] -1.88 0.00016 0.00034 -1.88 -1.88 -1.88 -1.88 -1.88 4 1.4
alpha0[61] 1.62 0.00058 0.0013 1.62 1.62 1.62 1.62 1.62 5 1.46
alpha0[62] 1.43 0.00022 0.00055 1.43 1.43 1.43 1.43 1.43 6 1.39
alpha0[63] -0.53 0.0002 0.00053 -0.53 -0.53 -0.53 -0.53 -0.53 7 1.16
alpha0[64] -0.18 0.00037 0.00074 -0.18 -0.18 -0.18 -0.18 -0.18 4 1.6
alpha0[65] -0.58 0.00035 0.0006 -0.58 -0.58 -0.58 -0.58 -0.58 3 1.9
alpha0[66] 1.15 0.00025 0.00062 1.15 1.15 1.15 1.15 1.15 6 1.29
alpha0[67] 1.4 0.00022 0.00052 1.4 1.4 1.4 1.4 1.4 6 1.12
alpha0[68] 1.2 7.6E-05 0.00022 1.2 1.2 1.2 1.2 1.2 9 1.01
alpha0[69] -1.12 0.00041 0.00071 -1.12 -1.12 -1.12 -1.12 -1.12 3 2.05
alpha0[70] -0.28 0.00019 0.00044 -0.28 -0.28 -0.28 -0.28 -0.28 5 1.16
alpha0[71] -1.9 0.0007 0.0015 -1.9 -1.9 -1.9 -1.9 -1.89 5 1.54
alpha0[72] 1.59 0.00039 0.00072 1.59 1.59 1.59 1.59 1.59 3 1.83
alpha[1,1] -0.64 0.00086 0.0017 -0.65 -0.64 -0.64 -0.64 -0.64 4 1.7
alpha[2,1] -0.32 0.00017 0.00046 -0.32 -0.32 -0.32 -0.32 -0.32 7 1.33
alpha[3,1] -0.71 0.00047 0.0009 -0.71 -0.71 -0.71 -0.71 -0.71 4 1.73
alpha[4,1] -0.68 0.0003 0.00063 -0.68 -0.68 -0.68 -0.67 -0.67 4 1.55
alpha[5,1] -0.15 0.00033 0.00082 -0.16 -0.15 -0.15 -0.15 -0.15 6 1.32
alpha[6,1] 0.07 0.00017 0.00039 0.06 0.06 0.07 0.07 0.07 5 1.51
alpha[7,1] 0.4 0.00021 0.0004 0.4 0.4 0.41 0.41 0.41 4 1.64
alpha[8,1] 0.22 0.00012 0.00027 0.21 0.22 0.22 0.22 0.22 5 1.33
alpha[9,1] -0.39 0.0005 0.0011 -0.39 -0.39 -0.38 -0.38 -0.38 5 1.45
alpha[10,1] 0.58 7.6E-05 0.00022 0.58 0.58 0.58 0.58 0.58 8 1.07
alpha[11,1] 0.66 0.00033 0.00061 0.66 0.66 0.66 0.66 0.66 4 1.82
alpha[12,1] -0.65 0.00014 0.00033 -0.65 -0.65 -0.65 -0.65 -0.65 6 1.38
alpha[13,1] -0.41 0.00092 0.002 -0.42 -0.41 -0.41 -0.41 -0.41 5 1.54
alpha[14,1] 0.75 5.4E-05 9.7E-05 0.75 0.75 0.75 0.75 0.75 3 2.01
alpha[15,1] -0.18 0.00017 0.00046 -0.18 -0.18 -0.18 -0.18 -0.18 8 1.03
alpha[16,1] 0.38 0.00012 0.00032 0.38 0.38 0.38 0.38 0.38 7 1.07
alpha[17,1] 0.75 3.1E-05 9E-05 0.75 0.75 0.75 0.75 0.75 9 1.05
alpha[18,1] 0.62 4.5E-05 0.00012 0.62 0.62 0.62 0.62 0.62 7 1.24
alpha[19,1] 0.44 5.5E-05 0.00013 0.44 0.44 0.44 0.44 0.44 5 1.17
alpha[20,1] 0.24 0.0001 0.00027 0.24 0.24 0.24 0.24 0.24 7 1.29
alpha[21,1] 0.23 0.00011 0.00027 0.23 0.23 0.23 0.23 0.24 7 1.29
alpha[22,1] -0.67 0.0008 0.0016 -0.68 -0.67 -0.67 -0.67 -0.67 4 1.67
alpha[23,1] -0.37 0.00053 0.0013 -0.37 -0.37 -0.37 -0.37 -0.36 6 1.38
alpha[24,1] -0.75 0.0003 0.00063 -0.75 -0.75 -0.75 -0.75 -0.74 4 1.57
alpha[25,1] -0.49 0.0011 0.0023 -0.5 -0.49 -0.49 -0.49 -0.49 4 1.61
alpha[26,1] -0.13 4.9E-05 0.00011 -0.13 -0.13 -0.13 -0.13 -0.13 5 1.72
alpha[27,1] -0.52 0.00073 0.0015 -0.53 -0.53 -0.52 -0.52 -0.52 4 1.6
alpha[28,1] -0.12 0.00039 0.00076 -0.12 -0.12 -0.12 -0.12 -0.12 4 1.78
alpha[29,1] 0.22 3.6E-05 0.00012 0.22 0.22 0.22 0.22 0.22 10 1.1
alpha[30,1] 0.27 0.00035 0.00067 0.27 0.27 0.27 0.27 0.27 4 1.72
alpha[31,1] -0.09 0.00019 0.00048 -0.09 -0.09 -0.09 -0.09 -0.09 6 1.15
alpha[32,1] 0.68 0.00026 0.00048 0.67 0.67 0.68 0.68 0.68 4 1.8
alpha[33,1] -0.21 0.00032 0.00082 -0.21 -0.21 -0.21 -0.21 -0.21 6 1.28
alpha[34,1] -0.01 0.00029 0.00052 -0.01 -0.01 -0.01 -0.01 -0.01 3 1.9
alpha[35,1] 0.55 0.00032 0.00069 0.55 0.55 0.55 0.55 0.56 5 1.54
alpha[36,1] 2.5E-05 0.00011 0.00024 -0.0004 -0.00019 4.2E-05 0.00027 0.00035 5 1.13
alpha[37,1] 0.47 5.9E-05 0.00015 0.47 0.47 0.47 0.47 0.47 7 1.07
alpha[38,1] 0.67 0.00011 0.00027 0.67 0.67 0.67 0.67 0.68 6 1.25
alpha[39,1] -0.42 0.0015 0.003 -0.42 -0.42 -0.42 -0.42 -0.41 4 1.6
alpha[40,1] 0.00076 8.1E-05 0.00022 0.00023 0.00068 0.00081 0.00093 0.0011 8 1.19
alpha[41,1] -0.03 0.0001 0.00029 -0.03 -0.03 -0.03 -0.03 -0.03 8 1.01
alpha[42,1] 0.68 0.00032 0.00062 0.68 0.68 0.68 0.68 0.68 4 1.7
alpha[43,1] 0.36 0.00015 0.00037 0.36 0.36 0.36 0.36 0.37 6 1.29
alpha[44,1] 0.66 7.6E-05 0.00016 0.65 0.65 0.65 0.66 0.66 5 1.15
alpha[45,1] -0.53 0.00047 0.00092 -0.53 -0.53 -0.53 -0.53 -0.53 4 1.7
alpha[46,1] -0.25 0.00032 0.00075 -0.26 -0.25 -0.25 -0.25 -0.25 5 1.36
alpha[47,1] -0.68 0.00083 0.0017 -0.68 -0.68 -0.68 -0.68 -0.67 4 1.63
alpha[48,1] 0.71 0.00021 0.0004 0.7 0.7 0.71 0.71 0.71 4 1.8
alpha[49,1] -0.39 0.00029 0.00072 -0.4 -0.39 -0.39 -0.39 -0.39 6 1.28
alpha[50,1] -0.4 0.00037 0.00081 -0.4 -0.4 -0.4 -0.4 -0.4 5 1.5
alpha[51,1] 0.7 0.00022 0.00042 0.7 0.7 0.7 0.7 0.7 4 1.78
alpha[52,1] -0.72 0.00052 0.0011 -0.72 -0.72 -0.72 -0.72 -0.71 4 1.59
alpha[53,1] 0.68 0.00036 0.00069 0.68 0.68 0.68 0.68 0.68 4 1.73
alpha[54,1] 0.57 0.00019 0.00039 0.57 0.57 0.57 0.57 0.57 4 1.58
alpha[55,1] 0.61 7.6E-05 0.00013 0.61 0.61 0.61 0.61 0.61 3 2.17
alpha[56,1] 0.42 8.1E-05 0.00018 0.41 0.41 0.41 0.42 0.42 5 1.02
alpha[57,1] 0.49 0.00036 0.00068 0.49 0.49 0.49 0.49 0.49 4 1.78
alpha[58,1] -0.14 0.00025 0.00065 -0.14 -0.14 -0.14 -0.14 -0.14 7 1.31
alpha[59,1] 0.75 0.0001 0.0002 0.75 0.75 0.75 0.75 0.75 4 1.63
alpha[60,1] -0.33 0.00039 0.00097 -0.33 -0.33 -0.33 -0.33 -0.33 6 1.33
alpha[61,1] -0.63 0.00072 0.0015 -0.63 -0.63 -0.63 -0.63 -0.62 4 1.57
alpha[62,1] -0.74 0.00011 0.00031 -0.74 -0.74 -0.74 -0.74 -0.74 7 1.23
alpha[63,1] 0.56 9.3E-05 0.00023 0.56 0.56 0.56 0.56 0.56 6 1.34
alpha[64,1] -0.35 0.00031 0.00063 -0.35 -0.35 -0.35 -0.35 -0.35 4 1.56
alpha[65,1] 0.66 0.00018 0.00037 0.66 0.66 0.66 0.66 0.67 4 1.61
alpha[66,1] -0.15 9.2E-05 0.00027 -0.15 -0.15 -0.15 -0.15 -0.15 9 1.01
alpha[67,1] -0.52 0.0011 0.0023 -0.53 -0.52 -0.52 -0.52 -0.52 4 1.61
alpha[68,1] -0.14 0.00024 0.00068 -0.15 -0.14 -0.14 -0.14 -0.14 8 1.05
alpha[69,1] -0.37 0.0007 0.0014 -0.37 -0.37 -0.37 -0.37 -0.37 4 1.74
